estado	municipio	parroquia	centro	cod_centro	votosGPP2017	votosMUD2017	votosOTHER2017	votantesx2017	nulos2017	no_sustituidos_sum2017	reubicado_g2017	turnout2017	abstention2017	MUDshare2017	validos2017	votantes2015	abstencion2015	turnout2015	MUDshare2015	MUDshare2013	MCMshare2012
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"UNIDAD EDUCATIVA MANUEL FELIPE TOVAR"	"020301058"	281	179	12	798	1	0	0	.5927318	.4072682	.595339	472	219	.2122302	.7877698	.5167464	.359116	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA BOLIVARIANA EL ENEAL"	"020301059"	147	113	5	423	2	0	0	.6312057	.3687943	.554717	265	333	.1878049	.8121951	.5732484	.538983	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE ATENCION INTEGRAL A PERSONAS CON AUTISMO CAIPA"	"020301060"	77	141	3	320	0	0	0	.690625	.309375	.3484163	221	219	.124	.876	.7327189	.6217949	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACION INICIAL MANUELITA SAENZ"	"020301061"	139	103	3	328	2	0	0	.7530488	.2469512	.5673469	245	265	.1613924	.8386076	.484252	.4371585	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"INSTITUTO NACIONAL DE CAPACITACIÃN Y EDUCACIÃN SOCIALISTA"	"020301062"	386	1906	25	3624	0	0	0	.6393488	.3606512	.1665947	2317	2960	.1628959	.8371041	.8454139	.7922208	.0371901
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACIÃN BELÃN MARÃA SAN JUÃN"	"020301063"	254	389	6	1078	4	0	0	.6057514	.3942486	.3913713	649	763	.2855805	.7144195	.6634616	.5935638	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACION INICIAL SORFANNY ALFONSO"	"020301064"	303	27	2	458	0	0	0	.7248908	.2751092	.9126506	332	357	.2222222	.7777778	.1771772		
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"UNIDAD EDUCATIVA PROFESOR HECTOR JOSE REYES BARRERO"	"020301065"	96	59	4	207	1	0	0	.7729468	.2270532	.6037736	159	155	.1242938	.8757062	.5608108		
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"BASE DE MISIONES ALVAREZ BAJAREZ SEGMENTO 160"	"020301067"	46	18	3	85	0	0	0	.7882353	.2117647	.6865672	67	75	.0963855	.9036145	.4179105		
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"BASE DE MISIONES EL ESFUERZO III SECTOR BUENA VISTA II"	"020301068"	132	29	3	213	0	0	0	.7699531	.2300469	.8048781	164	190	.0776699	.9223301	.2674419		
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"BASE DE MISIONES ZONA INDUSTRIAL LAS TERRAZAS DE SUPER S"	"020301069"	180	40	1	274	0	0	0	.8065693	.1934307	.8144796	221	227	.0956175	.9043825	.2511415		
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"BASE DE MISIONES ROBERT SERRA 17 DE JUNIO"	"020301070"	122	43	1	272	0	0	0	.6102941	.3897059	.7349398	166	203	.2162162	.7837838	.2840909		
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA ESTADAL DOMINGO MAZA VELASQUEZ"	"020302001"	1127	1305	41	4293	7	0	0	.5776846	.4223154	.4557218	2473	3001	.310432	.689568	.6088164	.517868	.0261593
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA BASICA ANTONIO GUZMÃN BLANCO"	"020302002"	836	522	19	2137	2	0	0	.6452972	.3547028	.6071169	1377	1631	.2421004	.7578996	.5	.4310006	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA ESTADAL PROFESOR HÃCTOR GARCÃA SALAS"	"020302003"	874	515	15	2047	2	0	0	.6868588	.3131412	.6225071	1404	1549	.2380718	.7619282	.4549153	.3836556	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA RURAL DE EDUCACION BASICA LA PONDEROSA"	"020302004"	1638	812	30	3863	1	0	0	.642247	.357753	.6604839	2480	2680	.2997126	.7002875	.4827044	.396697	.0231481
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA BICENTENARIO DEL LIBERTADOR"	"020302005"	2022	918	52	4688	3	0	0	.6388652	.3611348	.6758021	2992	3261	.3045425	.6954575	.4614628	.3406875	.0361664
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA BASICA LOS POTOCOS NUCLEO ESCOLAR RURAL 371"	"020302006"	574	186	4	1164	0	0	0	.6563574	.3436426	.7513089	764	843	.2831633	.7168367	.2882427	.2322713	.0116732
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"CENTRO DE EDUCACION INICIAL MANUELA SAENZ"	"020302007"	516	191	10	1044	2	0	0	.6886973	.3113027	.7196653	717	782	.2495202	.7504798	.3731544	.3303909	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA DOCTOR LUIS BELTRAN PRIETO FIGUEROA"	"020302010"	769	795	17	2376	4	0	0	.6670876	.3329124	.486401	1581	1876	.1913793	.8086207	.6153421	.501992	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"INTERNADO JUDICIAL BARCELONA"	"020302011"	408	270	14	1606	0	0	0	.4308842	.5691158	.5895954	692	859	.4825301	.5174699	.4766709	.3836858	.0483871
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA SIMON BOLIVAR 29 DE MARZO"	"020302012"	548	379	7	1507	1	0	0	.620438	.379562	.5867237	934	1094	.2721224	.7278776	.5996113	.5156951	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"GRUPO ESCOLAR REPUBLICA DE CHILE"	"020302013"	1433	2110	46	5534	6	0	0	.6496205	.3503795	.3992756	3589	3235	.2096262	.7903738	.6760155	.5918984	.0173647
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"COMPLEJO EDUCATIVO NUESTRA SEÃORA DEL VALLE"	"020302014"	732	1239	17	2889	4	0	0	.689512	.310488	.3682092	1988	2280	.2058516	.7941484	.7023382	.6298458	.0305206
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"COMPLEJO EDUCATIVO NACIONAL MANUEL FARIAS LUCES"	"020302016"	864	949	17	2777	2	0	0	.6597047	.3402953	.4721311	1830	2090	.2402763	.7597237	.6382766	.5513889	.0216718
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"TALLER DE EDUCACION LABORAL ANZOATEGUI"	"020302017"	154	794	10	1495	1	0	0	.6414716	.3585284	.1607516	958	1191	.2033445	.7966555	.8510638	.8258824	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"GRUPO ESCOLAR JUAN MANUEL CAJIGAL"	"020302019"	998	1196	21	3459	2	0	0	.6409367	.3590633	.4505643	2215	2584	.2514484	.7485516	.6132461	.5541078	.028136
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"CENTRO DE EDUCACION INICIAL PADRE PIO"	"020302020"	874	790	23	2716	5	0	0	.622975	.377025	.5180795	1687	1989	.2716953	.7283046	.5561303	.4817955	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"AUDITORIO JUAN MANUEL CAJIGAL"	"020302021"	325	715	11	1749	0	0	0	.6009148	.3990852	.3092293	1051	1312	.2545455	.7454545	.6957547	.645933	.0595855
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA DOCTOR JOSÃ TADEO ARREAZA CALATRAVA"	"020302022"	723	1231	30	3321	2	0	0	.5980126	.4019874	.3644153	1984	2473	.2462664	.7537336	.6803037	.6065696	.0348399
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA EULALIA BUROZ"	"020302023"	614	657	14	2037	0	0	0	.6308296	.3691704	.477821	1285	1556	.2227772	.7772228	.6076975	.5125241	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"LICEO BOLIVARIANO CORONEL JUAN BAUTISTA BIDEAUX"	"020302024"	1388	1979	35	4992	2	0	0	.681891	.318109	.4079953	3402	3953	.1989868	.8010132	.6678037	.5806217	.0260973
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD  EDUCATIVA INSTITUTO PRIVADO FRANCISCO DE MIRANDA"	"020302025"	139	434	10	897	0	0	0	.6499442	.3500558	.238422	583	713	.2006726	.7993274	.7718518	.7099738	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA DOCTOR JOSÃ GIL FORTOUL"	"020302026"	1424	1686	38	4602	12	0	0	.686658	.313342	.4523507	3148	3684	.1984334	.8015666	.6137072	.5082418	.0394945
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA NACIONAL CELESTINO FARRERA"	"020302027"	398	805	24	1807	0	0	0	.679026	.320974	.3243684	1227	1496	.1619048	.8380952	.7173463	.6464779	.043573
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA NACIONAL  MERCEDES DE PÃREZ FREITES"	"020302028"	359	2363	19	4650	1	0	0	.5896774	.4103226	.1309741	2741	3661	.2118407	.7881593	.8753816	.829062	.0461676
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"LICEO NACIONAL CAMINO NUEVO"	"020302029"	1753	1731	45	5345	3	0	0	.6608045	.3391955	.4967413	3529	4309	.1789253	.8210747	.6067525	.4982307	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"CASA DE LOS NIÃOS ROMULO GALLEGOS"	"020302030"	415	484	12	1268	0	0	0	.7184542	.2815458	.4555434	911	1013	.2042419	.7957581	.6078224	.5537886	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA NACIONAL DOCTOR JULIO CAMEJO"	"020302032"	1352	1389	29	4069	7	0	0	.6824773	.3175227	.4880866	2770	3190	.2105914	.7894086	.6136735	.5423936	.0338573
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA DE CAPACITACION DE ADULTOS COMUNA INDIO CUMANAGOTO"	"020302033"	591	559	13	1746	4	0	0	.6683849	.3316151	.5081685	1163	1365	.2365772	.7634228	.5789068	.5070707	.0215827
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIVERSIDAD SIMÃN RODRÃGUEZ"	"020302034"	294	522	11	1353	0	0	0	.6112343	.3887657	.3555018	827	1004	.2529762	.7470238	.6721144	.6336449	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"UNIDAD EDUCATIVA NACIONAL 29 DE MARZO"	"020302036"	1404	1507	32	4391	3	0	0	.6709178	.3290822	.4770642	2943	3351	.2323024	.7676976	.6203125	.5750427	.0389105
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"CENTRO DE EDUCACION INICIAL  FRANCISCO FERRER"	"020302037"	598	769	13	2014	1	0	0	.6857001	.3142999	.4333333	1380	1561	.2298964	.7701036	.6480263	.5816078	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. SAN CRISTOBAL"	"ESCUELA TECNICA ROBINSONIANA COMERCIAL DOCTOR  FELIPE GUEVARA ROJAS"	"020302038"	682	1310	30	3020	2	0	0	.6701987	.3298013	.3372898	2022	2386	.2169347	.7830653	.707489	.652502	.0322928
